Pays,TIME_PERIOD,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,Total des abonnements au téléphone cellulaire mobile,Total des lignes d'accès téléphoniques,Total des recettes des télécommunications USD,Total des voies d'accès de communication
Canada,2014,4171691.0,8470883250.0,28788935.0,16403000.0,41759887944.0,57761022.0
Canada,2015,4188955.0,8172993472.0,29765396.0,15612271.0,37344910427.0,58491028.0
Canada,2016,4125748.0,8691822498.0,30751965.0,15155000.0,36644738373.0,59293461.0
Canada,2017,3941143.0,9277782856.0,31692514.0,14469000.0,38708467173.0,60085319.0
Canada,2018,3799594.0,9509696883.0,33211401.0,13842000.0,40846759316.0,61373621.0
Chili,2005,8638113.0,735637190.0,10569572.0,3460645.0,,14713563.0
Chili,2006,9806577.0,1199451281.0,12450801.0,3383597.0,,16842720.0
Chili,2007,10432036.0,1393314924.0,13955202.0,3459611.0,,18712898.0
Chili,2008,10762915.0,1754049037.0,14796593.0,3524790.0,,19743974.0
Chili,2009,11933023.0,1387426780.0,16450223.0,3555311.0,,21660210.0
Chili,2010,14065837.0,1920659094.0,19852242.0,3459367.0,,25100503.0
Chili,2011,15885567.0,2414863150.0,22315248.0,3370104.0,,27696596.0
Chili,2012,17283257.0,2463536847.0,23940973.0,3292502.0,,29399805.0
Chili,2013,16629989.0,2079144281.0,23661339.0,3347231.0,,29303739.0
Chili,2014,16305141.0,1858881068.0,23680718.0,3427749.0,,29598184.0
Chili,2015,15567968.0,1473382755.0,23206353.0,3445880.0,,29371672.0
Chili,2016,14746472.0,1427482274.0,23302603.0,3375037.0,,29582220.0
Chili,2017,13135112.0,1544398366.0,23013147.0,3200245.0,,29275784.0
Chili,2018,13127449.0,1659214258.0,25178981.0,2997192.0,,31426851.0
Colombie,2005,,,21849993.0,7665167.0,6279649953.0,29833843.0
Colombie,2006,24708593.0,,29762715.0,7717171.0,7470967414.0,38107963.0
Colombie,2007,28630384.0,,33941118.0,7853786.0,9503004874.0,43001994.0
Colombie,2008,35683315.0,,41364753.0,7952605.0,11043293981.0,51089446.0
Colombie,2009,34815857.0,,41154630.0,7473867.0,,50844045.0
Colombie,2010,37143288.0,,44477653.0,7189824.0,,54318840.0
Colombie,2011,37727264.0,,46200421.0,7126730.0,,56658319.0
Colombie,2012,39630898.0,,49066359.0,7030348.0,8989404556.0,59995461.0
Colombie,2013,39542018.6268,,50295114.0,7133260.0,8644700381.0,61926218.0
Colombie,2014,44287194.0,,55330727.0,7180937.0,8633324464.0,67563216.0
Colombie,2015,45878731.0,,57327470.0,7109254.0,6568271619.0,69927258.0
Colombie,2016,46572192.0,,58684924.0,7115984.0,5943353997.0,71714138.0
Colombie,2017,49537231.0,,62220014.0,6987654.0,6386127424.0,75539015.0
Colombie,2018,51560803.0,,64825056.0,6973573.0,6600689808.0,78489419.0
Corée,2005,662065.0,5199097762.0,38342323.0,22920151.0,39897760028.0,75073187.0
Corée,2006,538332.0,6250798605.0,40197115.0,23119170.0,44898644728.0,77329206.0
Corée,2007,871624.0,6996427265.0,43497541.0,23130253.0,48869857736.0,81337792.0
Corée,2008,909182.0,6244362778.0,45606984.0,22131737.0,44193482147.0,83213652.0
Corée,2009,980026.0,5101375956.0,47944222.0,20089979.0,39926938830.0,84353519.0
Corée,2010,1001147.0,4922495372.0,50767241.0,19273484.0,45282105600.0,87152570.0
Corée,2011,1017365.0,6025949887.0,52506793.0,18632501.0,44060309125.0,88855122.0
Corée,2012,1582461.0,7070494554.0,53624427.0,18261220.0,43943824514.0,89980484.0
Corée,2013,2052119.0,6196008586.0,54680840.0,17620453.0,46566561629.0,90832183.0
Corée,2014,2979272.0,6418857317.0,57290356.0,16939308.0,49816897128.0,93221974.0
Corée,2015,3102518.0,5127214541.0,58935081.0,16341489.0,47423176208.0,95094365.0
Corée,2016,3238327.0,4954111838.0,61295538.0,15745961.0,48001516679.0,97390558.0
Corée,2017,3528974.0,4913660409.0,63658688.0,15038517.0,50699786805.0,99686499.0
Corée,2018,3929316.0,5130031804.0,66355778.0,14334357.0,52580039982.0,101975993.0
Danemark,2005,997781.0,1145666667.0,5449206.0,2797151.0,6676920336.0,9596772.0
Danemark,2006,1023234.0,1236470588.0,5828157.0,2614819.0,6811294430.0,10171313.0
Danemark,2007,1060779.0,1680514706.0,6307606.0,2354109.0,8145954207.0,10607557.0
Danemark,2008,1077668.0,1887564862.0,6556988.0,2061000.0,8124488683.0,10604195.0
Danemark,2009,1147966.0,1554646876.0,6833683.0,1679000.0,7574983175.0,10533947.0
Danemark,2010,1012949.0,1312299850.0,6980704.0,1331984.0,7224291222.0,10423423.0
Danemark,2011,974086.0,1243460592.0,7173185.0,1219851.0,7348977093.0,10536283.0
Danemark,2012,1089748.0,1131046095.0,7292756.0,1052366.0,6885134402.0,10523332.0
Danemark,2013,867767.0,1094472854.0,7031152.0,903712.0,6642360857.0,10207265.0
Danemark,2014,930744.0,1115252504.0,7160233.0,748560.0,7140226197.0,10250552.0
Danemark,2015,807317.0,997247637.0,7079249.0,610181.0,5840651102.0,10094392.0
Danemark,2016,655064.0,983008060.0,6985035.0,526103.0,5698931831.0,9942534.0
Danemark,2017,517189.0,1104411287.0,7140859.00299,450591.0,5742118958.0,10074658.00299
Danemark,2018,479031.0,1112372935.0,7216215.0,392191.99968,6065548549.0,10114775.99968
Espagne,2005,20713500.0,6893522960.0,42693832.0,19460832.0,51089724575.0,67148938.0
Espagne,2006,20880959.0,7106979234.0,45695061.0,19865037.0,52850385327.0,72219005.0
Espagne,2007,20764615.0,7884184030.0,48422470.0,20192505.0,60567345110.0,76513411.0
Espagne,2008,20313019.0,7605455882.0,49623339.0,20576070.0,64937852941.0,79356378.0
Espagne,2009,20865463.0,5939791667.0,51052693.0,20244312.0,57261000263.0,81143074.0
Espagne,2010,19968892.0,5965253333.0,51389417.0,20181424.0,53067766465.0,82356134.0
Espagne,2011,20369871.0,8221444444.0,52590507.0,19889038.0,52709584566.0,83865103.0
Espagne,2012,17814804.0,5199474359.0,50665099.0,19574626.0,45217820513.0,81700067.0
Espagne,2013,15749219.0,5199826667.0,50158689.0,19384245.0,43715866667.0,81722342.0
Espagne,2014,14606340.0,6758293333.0,50806251.0,19379051.0,43715866667.0,83019353.0
Espagne,2015,13449515.0,6230744444.0,51067569.0,19599274.0,34245166667.0,84209749.0
Espagne,2016,12571076.0,5419011111.0,51521507.0,19630715.0,36687422222.0,85315664.0
Espagne,2017,11680137.0,5258449438.0,52506928.0,19587220.0,38502438202.0,86568035.0
Espagne,2018,11373906.0,6282682353.0,54161014.0,19484361.0,40607600000.0,88601956.0
Estonie,2005,562000.0,75829094.0,1445300.0,386550.0,11901800000.0,1881350.0
Estonie,2006,719000.0,98538740.0,1658700.0,375930.0,13808275000.0,2253518.0
Estonie,2007,700000.0,129698345.0,1882776.0,398235.0,15872191781.0,2533180.0
Estonie,2008,636531.0,148414690.0,1897365.0,383336.0,16636098529.0,2561848.0
Estonie,2009,525166.0,91000334.0,1565409.0,372439.0,15558452778.0,2276693.0
Estonie,2010,624009.0,91207739.0,1860038.0,376122.0,14530746667.0,2584043.0
Estonie,2011,624893.0,120120833.0,1862674.0,374632.0,1027761997.0,2600840.0
Estonie,2012,649214.0,151944872.0,2070547.0,327652.0,936984615.0,2747706.0
Estonie,2013,502845.0,121391093.0,2055234.0,301581.0,863474667.0,2717623.0
Estonie,2014,428587.0,117684933.0,2062864.0,284651.0,799835591.0,2718524.0
Estonie,2015,397576.0,100777778.0,1903545.0,270535.0,684397580.0,2558209.0
Estonie,2016,358215.0,103777778.0,1897921.0,202519.0,651318727.0,2497035.0
Estonie,2017,337549.0,90449438.0,1904425.0,182884.0,673229429.0,2497596.0
Estonie,2018,337663.0,94705882.0,1924034.0,161052.0,732233240.0,2506726.0
Finlande,2005,368560.0,,5384572.0,2276029.0,,8834801.0
Finlande,2006,453600.0,,5670000.0,2026000.0,,9125200.0
Finlande,2007,550000.0,,6040000.0,1763000.0,,9420100.0
Finlande,2008,710000.0,,6830000.0,1655000.0,,9967000.0
Finlande,2009,770000.0,,7700000.0,1428000.0,,10694000.0
Finlande,2010,790000.0,,8390000.0,1252000.0,5160000000.0,11201000.0
Finlande,2011,910000.0,833333333.0,8940000.0,1077000.0,5256944444.0,11655000.0
Finlande,2012,930000.0,730769231.0,9190000.0,891000.0,4679487179.0,11768000.0
Finlande,2013,790000.0,753333333.0,9200000.0,754000.0,4660000000.0,11674000.0
Finlande,2014,770000.0,800000000.0,9280000.0,641000.0,4586666667.0,11679000.0
Finlande,2015,750000.0,755555556.0,9330000.0,544000.0,3766666667.0,11602000.0
Finlande,2016,730000.0,655555556.0,9340000.0,457000.0,3866666667.0,11509000.0
Finlande,2017,710000.0,683146067.0,9390000.0,378000.0,3908988764.0,11478000.0
Finlande,2018,690000.0,952941176.0,9380000.0,323000.0,4091764706.0,11440000.0
France,2005,17561000.0,7927331975.0,48088000.0,33106087.0,62156250000.0,90659687.0
France,2006,18102000.0,8769129763.0,51662000.0,31597690.0,62275000000.0,95978003.0
France,2007,19028000.0,8410958904.0,55337000.0,28737589.0,70569863014.0,99624589.0
France,2008,18736000.0,9601268368.0,57994000.0,26345636.0,78985294118.0,102064636.0
France,2009,18805000.0,8193620890.0,61540000.0,23995061.0,73612500000.0,105295061.0
France,2010,18626000.0,8551368766.0,65030000.0,21649159.0,71377333333.0,107913159.0
France,2011,19560000.0,10130858992.0,68570000.0,19511963.0,72633333333.0,110818963.0
France,2012,18244000.0,9480351290.0,73114000.0,17373948.0,64293589744.0,114474948.0
France,2013,15665000.0,9668312687.0,76800000.0,15586710.0,62929333333.0,117330710.0
France,2014,14517000.0,9389161246.0,79932000.0,14053651.0,61737333333.0,119960651.0
France,2015,12566000.0,8700863139.0,82666000.0,12685878.0,51085555556.0,122219878.0
France,2016,11378000.0,9881293809.0,84702000.0,11483026.0,50500000000.0,123865026.0
France,2017,10261000.0,10737496739.0,89488000.0,10364521.0,50611235955.0,128611521.0
France,2018,9092013.0,11510210745.0,93867215.0,9073267.0,52023529412.0,132037482.0
Grèce,2005,8338521.0,901250000.0,12448473.0,5518683.0,9798750000.0,18123716.0
Grèce,2006,9599333.0,1006250000.0,13874674.0,5394835.0,10623750000.0,19778590.0
Grèce,2007,11471385.0,1773972603.0,16226675.0,5301469.0,11797260274.0,22612259.0
Grèce,2008,13810782.0,2016176471.0,18918092.0,5212384.0,12276470588.0,25637090.0
Grèce,2009,15715011.0,1870833333.0,20298102.0,5159227.0,11002777778.0,27373959.0
Grèce,2010,10305890.0,1426666667.0,14815705.0,5049201.0,9460000000.0,22117559.0
Grèce,2011,10182066.0,1308333333.0,14557672.0,4828613.0,9195833333.0,21850567.0
Grèce,2012,10769863.0,934615385.0,15151447.0,4544627.0,7901282051.0,22385502.0
Grèce,2013,11443633.0,1044000000.0,15722476.0,4410254.0,7277333333.0,23045912.0
Grèce,2014,11257104.0,1229333333.0,15473683.0,4361965.0,6478026667.0,22991719.0
Grèce,2015,11141878.0,742222222.0,15353553.0,4274380.0,4877094444.0,23066967.0
Grèce,2016,11715272.0,991583080.0,15934294.0,3766436.0,4894097121.0,23317435.0
Grèce,2017,11906133.0,575159301.0,16167273.0,3241292.0,4960673638.0,23203975.0
Grèce,2018,11017923.0,603929026.0,15354388.0,2917766.0,5009066595.0,22236756.0
Hongrie,2005,6337715.0,638412717.0,9320169.0,3000628.0,5099473895.0,12960302.0
Hongrie,2006,6442402.0,635445316.0,9965720.0,3418875.0,5008818832.0,14349979.0
Hongrie,2007,6886586.0,668895801.0,11029930.0,3298623.0,5778946305.0,15724165.0
Hongrie,2008,7483601.0,711249794.0,12224163.0,3141780.0,5819676230.0,17083638.0
Hongrie,2009,6681278.0,951295540.0,11792475.0,3068685.0,4537289410.0,16741386.0
Hongrie,2010,6464961.0,676233742.0,12011823.0,2325202.0,4276124039.0,16394843.0
Hongrie,2011,5797909.0,699373542.0,11689937.0,2139174.0,4422447193.0,16020403.0
Hongrie,2012,5508219.0,,11579425.0,1959292.0,3957007088.0,15819806.0
Hongrie,2013,5346588.0,,11590326.0,1786260.0,3708335738.0,15777731.0
Hongrie,2014,5294000.0,,11796000.0,1377394.0,3784659198.0,15753931.0
Hongrie,2015,5044000.0,,11865000.0,956449.0,3243784445.0,15540243.0
Hongrie,2016,4712890.0,,11792748.0,516399.0,3290273066.0,15123670.0
Hongrie,2017,4206000.0,,11761000.0,436820.0,3425281493.0,15154405.0
Hongrie,2018,3940000.0,,11831338.0,270082.0,3602394434.0,15180969.0
Irlande,2005,3201855.0,673750000.0,4213436.0,1726771.0,4898039408.0,6214307.0
Irlande,2006,3539845.0,589934710.0,4631197.0,1739390.0,5356765741.0,6889616.0
Irlande,2007,3707887.0,627319556.0,4970719.0,1741396.0,6214211542.0,7479851.0
Irlande,2008,3747017.0,758599951.0,5048127.0,1685604.0,6641386395.0,7630077.0
Irlande,2009,3432181.0,613961197.0,5154289.0,1596968.0,5611656688.0,7713005.0
Irlande,2010,3396961.0,591200000.0,5273313.0,1515279.0,5155632140.0,7808556.0
Irlande,2011,3451216.0,620138889.0,5499790.0,1423521.0,5310590856.0,7994087.0
Irlande,2012,3254925.0,1031312374.0,5460507.0,1355551.0,4151235936.0,7928140.0
Irlande,2013,3203515.4,732522028.0,5626398.0,1340742.0,4206306247.0,8156352.0
Irlande,2014,3050538.0,754676537.0,5820829.0,1308478.0,4030623057.0,8388065.0
Irlande,2015,2830874.0,619320897.0,5765765.0,1235310.0,3381018700.0,8310414.0
Irlande,2016,2747205.0,628128333.0,5892448.0,1202404.0,3416395426.0,8455047.0
Irlande,2017,2684511.0,740087098.0,6020694.0,1157862.0,3551950996.0,8577348.0
Irlande,2018,2615109.0,,6282346.0,1105914.0,4152441364.0,8818420.0
Islande,2005,132907.0,75533552.0,304001.0,150685.0,463872937.0,532703.0
Islande,2006,143911.0,48378918.0,322840.0,146932.0,471383625.0,557510.0
Islande,2007,135157.0,116097634.0,326098.0,147663.0,578599762.0,571698.0
Islande,2008,141241.0,78800564.0,336922.0,153129.0,275517725.0,593748.0
Islande,2009,145310.0,27947112.0,339715.0,146914.0,187206250.0,593701.0
Islande,2010,158478.0,34749917.0,341077.0,142482.0,205487057.0,592771.0
Islande,2011,159129.0,33804103.0,344085.0,136574.0,225317147.0,592243.0
Islande,2012,164492.0,39085427.0,352114.0,133276.0,213280719.0,598810.0
Islande,2013,160583.0,45344307.0,356264.0,124544.0,226711625.0,598275.0
Islande,2014,162710.0,40711490.0,370047.0,121308.0,248320114.0,611272.0
Islande,2015,162141.0,38448257.0,383919.0,117746.0,223763511.0,626101.0
Islande,2016,170089.0,57058893.0,401613.0,106805.0,234652147.0,636441.0
Islande,2017,168759.0,68867332.0,410662.0,96433.0,255824919.0,640669.0
Islande,2018,175778.0,69727993.0,424720.0,75716.0,244045116.0,636992.0
Israël,2005,,,7757000.0,2475785.0,,11462411.0
Israël,2006,2290025.0,,8403765.0,2613657.0,,12437779.0
Israël,2007,2274144.0,,8982731.0,2458948.0,,13020844.0
Israël,2008,2445231.0,,9266448.0,2851690.0,,13784721.0
Israël,2009,2616318.0,922057717.0,9550164.0,3264532.0,6515310565.0,14570996.0
Israël,2010,2603834.0,968900222.0,9550164.0,3264532.0,7325356788.0,14632696.0
Israël,2011,2591349.0,1012203025.0,9791022.0,2004862.0,8153211803.0,13674884.0
Israël,2012,2591349.0,803886010.0,9791022.0,2087316.0,6812563389.0,13831338.0
Israël,2013,2591349.10327456,649584488.0,9791022.0,2169770.0,6478980609.0,13984792.0
Israël,2014,,696648045.0,9999000.0,2206000.0,6233289665.0,14282000.0
Israël,2015,,721336761.0,10369000.0,2181000.0,5498650643.0,14723000.0
Israël,2016,,,10326000.0,,5290337240.0,14770051.0
Israël,2017,,,10659000.0,,5334645278.0,15240000.0
Israël,2018,,,10830000.0,,5138658774.0,15445574.0
Italie,2005,65731770.0,8609275875.0,71838000.0,24008100.0,58063750000.0,102742796.0
Italie,2006,72696064.0,8443750000.0,80416000.0,22666486.0,58828750000.0,111475486.0
Italie,2007,80604390.0,9812328767.0,90135922.0,22850079.0,63208219178.0,123117543.0
Italie,2008,80264112.0,9836764706.0,90341160.0,22556587.0,66479411765.0,124180747.0
Italie,2009,77046473.0,8641666667.0,90032886.0,24091642.0,60833333333.0,126205759.0
Italie,2010,79085236.0,8200000000.0,93666088.0,23930142.0,56208000000.0,130654829.0
Italie,2011,79736335.0,8345833333.0,97290853.0,23457295.0,56372222222.0,134266091.0
Italie,2012,78789757.0,8097504265.0,98603231.0,22981324.0,49507692308.0,135347275.0
Italie,2013,77647921.488,7929368080.0,98814024.0,22197351.0,46258602221.0,135017341.0
Italie,2014,75716830.0,8182858270.0,97519307.0,21521294.0,43204999759.0,133380810.0
Italie,2015,74621563.0,8098816201.0,96887129.0,21119193.0,35348441921.0,132999527.0
Italie,2016,73423928.0,7826562348.0,98182991.0,20974710.0,35463667876.0,134650396.0
Italie,2017,71755865.0,8071120924.0,100162608.0,21231336.0,36203989833.0,137926999.0
Italie,2018,71075209.0,9892650871.0,103638887.0,20772008.0,37148308391.0,141479920.0
Japon,2005,2725848.0,18930058066.0,96483732.0,58053419.0,132042397024.0,176921989.0
Japon,2006,2494138.0,21036827171.0,101698165.0,55164571.0,129867583835.0,182607444.0
Japon,2007,2109366.0,18486794055.0,107338974.0,51232022.0,129989808917.0,186874248.0
Japon,2008,1540932.0,23548935759.0,112050077.0,47299410.0,139372097523.0,189466993.0
Japon,2009,1098665.0,25322218660.0,112182922.0,43338640.0,151952548894.0,187176334.0
Japon,2010,1257500.0,16935520620.0,119535344.0,39568111.0,152292093871.0,193127241.0
Japon,2011,1370460.0,17982708934.0,128204758.0,35953256.0,166286179677.0,199030890.0
Japon,2012,1258211.0,17982203284.0,136043361.0,32743625.0,162364958015.0,204058637.0
Japon,2013,1047752.0,16427254098.0,144014699.0,30042234.0,139737704918.0,209854742.0
Japon,2014,926403.0,9584670568.0,152697747.0,27733001.0,129227864829.0,217062539.0
Japon,2015,754783.0,9881031064.0,156562122.0,25078411.0,115946794448.0,219336384.0
Japon,2016,599400.0,11018475963.0,163496760.0,22983971.0,130399852928.0,225353779.0
Japon,2017,518460.0,9756619417.0,170192035.0,21354067.0,125022733351.0,231030649.0
Japon,2018,443439.0,9911247962.0,177816158.0,19957340.0,0.0,237841509.0
Lettonie,2005,,,,,,60770.0
Lettonie,2006,,,,,,109674.0
Lettonie,2007,,,,,,338559.0
Lettonie,2008,,,,,,412108.0
Lettonie,2009,,,,,,436966.0
Lettonie,2010,,,,,,434655.0
Lettonie,2011,,,,,,455220.0
Lettonie,2012,1218000.0,102564103.0,2631000.0,392106.0,,3493654.0
Lettonie,2013,1045000.0,86666667.0,2580000.0,308500.0,,3381515.0
Lettonie,2014,979802.0,150666667.0,2384000.0,400809.0,705910143.0,3289650.0
Lettonie,2015,845850.0,108888889.0,2590000.0,395602.0,597757803.0,3495135.0
Lettonie,2016,764119.0,97777778.0,2625744.0,362940.0,590388951.0,3507838.0
Lettonie,2017,609956.0,75430199.0,2769740.0,342296.0,611030646.0,3638153.0
Lettonie,2018,586889.0,91357082.0,2799054.0,266214.0,625850569.0,3591316.0
Lituanie,2005,2887716.0,345979772.0,4353447.0,756276.0,3144434740.0,5343804.0
Lituanie,2006,3160118.0,437739317.0,4718215.0,722249.0,3370300828.0,5809179.0
Lituanie,2007,3260289.0,642797407.0,4921077.0,727724.0,4074614890.0,6156373.0
Lituanie,2008,3248753.0,551631561.0,5022638.0,711470.0,4595289032.0,6324211.0
Lituanie,2009,3047252.0,415901512.0,4961499.0,670981.0,4003800791.0,6266259.0
Lituanie,2010,2873219.0,427604224.0,4890979.0,641539.0,3431345367.0,6216575.0
Lituanie,2011,2765481.0,499940892.0,4938000.0,604895.0,3326011459.0,6274829.0
Lituanie,2012,2711033.0,340769130.0,4997265.0,561202.0,2913410840.0,6331191.0
Lituanie,2013,2096601.0,399038187.0,4494113.0,507458.0,2859893915.0,5765981.0
Lituanie,2014,1803893.0,378818872.0,4264592.0,461486.0,2793310348.0,5527941.0
Lituanie,2015,1636272.0,87647927.0,4184053.0,422737.0,628616733.0,5440088.0
Lituanie,2016,1527680.0,108707971.0,3600115.0,385805.0,657603161.0,4843681.0
Lituanie,2017,1432007.0,86449488.0,3700256.0,344473.0,689177823.0,4843498.0
Lituanie,2018,1335878.0,95008205.0,3764670.0,274421.0,738475715.0,4827834.0
Luxembourg,2005,419200.0,55897500.0,719500.0,244400.0,566925000.0,1031257.0
Luxembourg,2006,372000.0,87500000.0,714000.0,245300.0,612250000.0,1058580.0
Luxembourg,2007,310000.0,109452055.0,684000.0,254400.0,675616438.0,1067660.0
Luxembourg,2008,279000.0,129117647.0,707000.0,260400.0,743529412.0,1111166.0
Luxembourg,2009,260000.0,135833333.0,720000.0,264400.0,702361111.0,1129800.0
Luxembourg,2010,230000.0,122400000.0,727000.0,268000.0,661680000.0,1150892.0
Luxembourg,2011,236000.0,159027778.0,765000.0,274000.0,710305556.0,1202617.0
Luxembourg,2012,236000.0,170769231.0,761500.0,236000.0,718589744.0,1168151.0
Luxembourg,2013,224500.0,201600000.0,788500.0,218500.0,760000000.0,1184300.0
Luxembourg,2014,210000.0,208133333.0,883000.0,270740.0,712933333.0,1341340.0
Luxembourg,2015,193000.0,146111111.0,906000.0,276630.0,597777778.0,1382830.0
Luxembourg,2016,104000.0,124777778.0,894600.0,276400.0,610444444.0,1374100.0
Luxembourg,2017,99000.0,116966292.0,932000.0,275500.0,631910112.0,1421808.0
