Pays,TIME_PERIOD,Abonnements au téléphone cellulaire mobile utilisant des cartes prépayés,Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire),Investissements totaux dans les télécommunications (pour lignes fixes et réseau mobile cellulaire) USD,Nombre d’abonnés à la télévision par câble,Total Internet Protocol (IP) telephone subscriptions,Total des abonnements au téléphone cellulaire mobile,Total des abonnements au téléphone cellulaire mobile pour 100 habitants,Total des lignes d'accès téléphoniques,Total des recettes des télécommunications,Total des recettes des télécommunications USD,Total des voies d'accès de communication,Total des voies d'accès de communication pour 100 habitants
Chili,2015,15567968.0,963769128000.0,1473382755.0,2940023.0,,23206353.0,129.13,3445880.0,,,29371672.0,163.44
Chili,2016,14746472.0,966348400000.0,1427482274.0,3050347.0,,23302603.0,128.27,3375037.0,,,29582220.0,162.83
Chili,2017,13135112.0,1002051991588.0,1544398366.0,3294954.0,,23013147.0,124.94,3200245.0,,,29275784.0,158.94
Chili,2018,13127449.0,1064020919300.0,1659214258.0,3329543.0,,25178981.0,134.28,2997192.0,,,31426851.0,167.6
Colombie,2002,,,,,,,,,,,34888.0,0.08
Colombie,2003,,,,,,6186206.0,14.78,7805070.0,10637000000000.0,3696418953.0,14055712.0,33.59
Colombie,2004,,,,,,10400578.0,24.55,7550137.0,12463000000000.0,4741289122.0,18077828.0,42.67
Colombie,2005,,,,,,21849993.0,50.95,7665167.0,14574000000000.0,6279649953.0,29833843.0,69.56
Colombie,2006,24708593.0,,,,,29762715.0,68.57,7717171.0,17640000000000.0,7470967414.0,38107963.0,87.79
Colombie,2007,28630384.0,,,,,33941118.0,77.27,7853786.0,19750000000000.0,9503004874.0,43001994.0,97.89
Colombie,2008,35683315.0,,,,,41364753.0,93.06,7952605.0,21730000000000.0,11043293981.0,51089446.0,114.93
Colombie,2009,34815857.0,,,,,41154630.0,91.5,7473867.0,,,50844045.0,113.04
Colombie,2010,37143288.0,,,3509800.0,,44477653.0,97.73,7189824.0,,,54318840.0,119.36
Colombie,2011,37727264.0,,,3871895.0,,46200421.0,100.34,7126730.0,,,56658319.0,123.05
Colombie,2012,39630898.0,,,4310423.0,,49066359.0,105.33,7030348.0,16153061045878.0,8989404556.0,59995461.0,128.8
Colombie,2013,39542018.6268,,,4664490.0,,50295114.0,106.74,7133260.0,16155129624391.0,8644700381.0,61926218.0,131.42
Colombie,2014,44287194.0,,,4897426.0,,55330727.0,116.09,7180937.0,17282016246412.0,8633324464.0,67563216.0,141.76
Colombie,2015,45878731.0,,,5130931.0,,57327470.0,118.93,7109254.0,18009412586847.0,6568271619.0,69927258.0,145.07
Colombie,2016,46572192.0,,,5433659.0,,58684924.0,120.38,7115984.0,18151716309038.0,5943353997.0,71714138.0,147.11
Colombie,2017,49537231.0,,,5569565.0,,62220014.0,126.23,6987654.0,18847569449746.5,6386127424.0,75539015.0,153.25
Colombie,2018,51560803.0,,,5868078.0,,64825056.0,130.08,6973573.0,19509658866365.8,6600689808.0,78489419.0,157.5
Corée,1996,,4698600000000.0,,,,3180989.0,6.99,19950405.0,11822012000000.0,,23131394.0,50.81
Corée,1997,,2900008058876.0,,6678300.0,,6895477.0,15.01,20866110.0,13904471000000.0,,27761587.0,60.41
Corée,1998,,6299546000000.0,,8007866.0,,13982919.0,30.21,20794586.0,16846677000000.0,,34777505.0,75.14
Corée,1999,,8367000000000.0,,1398152.0,,23442724.0,50.29,22118163.0,21040360000000.0,,45560887.0,97.74
Corée,2000,,8783000000000.0,7765968735.0,2560000.0,,26816398.0,57.05,22425724.0,26752672000000.0,23654834831.0,49242122.0,104.75
Corée,2001,,7733600000000.0,5990441444.0,5248494.0,,29045596.0,61.32,22724668.0,30554169000000.0,23667239096.0,51770264.0,109.29
Corée,2002,607002.0,8001800000000.0,6395862808.0,7454822.0,,32342493.0,67.88,23490130.0,33849852000000.0,27056288516.0,67414072.0,141.49
Corée,2003,591215.0,6202700000000.0,5205310462.0,11404632.0,,33591758.0,70.14,22877019.0,34693752000000.0,29115022533.0,68987220.0,144.05
Corée,2004,526638.0,6050600000000.0,5282890371.0,12906779.0,,36586052.0,76.09,22870615.0,38252483000000.0,33398947892.0,72439410.0,150.66
Corée,2005,662065.0,5324500000000.0,5199097762.0,14129314.0,,38342323.0,79.57,22920151.0,40860094000000.0,39897760028.0,75073187.0,155.8
Corée,2006,538332.0,5968200000000.0,6250798605.0,14168941.0,,40197115.0,82.99,23119170.0,42868777000000.0,44898644728.0,77329206.0,159.64
Corée,2007,871624.0,6501500000000.0,6996427265.0,14764187.0,,43497541.0,89.35,23130253.0,45412804000000.0,48869857736.0,81337792.0,167.07
Corée,2008,909182.0,6881600000000.0,6244362778.0,15196785.0,,45606984.0,92.97,22131737.0,48703427000000.0,44193482147.0,83213652.0,169.63
Corée,2009,980026.0,6514100000000.0,5101375956.0,15294600.0,,47944222.0,97.23,20089979.0,50983906000000.0,39926938830.0,84353519.0,171.08
Corée,2010,1001147.0,5690700000000.0,4922495372.0,15076585.0,,50767241.0,102.45,19273484.0,52348831000000.0,45282105600.0,87152570.0,175.87
Corée,2011,1017365.0,6678500000000.0,6025949887.0,14932470.0,10725206.0,52506793.0,105.15,18632501.0,48831600000000.0,44060309125.0,88855122.0,177.94
Corée,2012,1582461.0,7964700000000.0,7070494554.0,14905017.0,11736677.0,53624427.0,106.82,18261220.0,49501400000000.0,43943824514.0,89980484.0,179.24
Corée,2013,2052119.0,6783700000000.0,6196008586.0,14846259.0,12618851.0,54680840.0,108.43,17620453.0,50983400000000.0,46566561629.0,90832183.0,180.12
Corée,2014,2979272.0,6758800000000.0,6418857317.0,14676658.0,12423478.0,57290356.0,112.89,16939308.0,52455200000000.0,49816897128.0,93221974.0,183.7
Corée,2015,3102518.0,5799700000000.0,5127214541.0,14424155.0,12458208.0,58935081.0,115.53,16341489.0,53643200000000.0,47423176208.0,95094365.0,186.4
Corée,2016,3238327.0,5748900000000.0,4954111838.0,14509116.0,12215859.0,61295538.0,119.61,15745961.0,55702400000000.0,48001516679.0,97390558.0,190.05
Corée,2017,3528974.0,5554500000000.0,4913660409.0,14518675.0,11735334.0,63658688.0,123.74,15038517.0,57312053000000.0,50699786805.0,99686499.0,193.77
Corée,2018,3929316.0,5645600000000.0,5130031804.0,13804449.0,11513330.0,66355778.0,128.51,14334357.0,57864334000000.0,52580039982.0,101975993.0,197.49
Danemark,1996,,4734000000.0,,,,1316592.0,25.02,3254863.0,21116000000.0,,4571455.0,86.88
Danemark,1997,,5872000000.0,,,,1444000.0,27.33,3164000.0,23003000000.0,,4608000.0,87.2
Danemark,1998,,7218000000.0,,,,1931101.0,36.43,3203000.0,25193000000.0,,5134101.0,96.85
Danemark,1999,979811.0,6879000000.0,,,,2628585.0,49.42,3174746.0,30920000000.0,,5803331.0,109.1
Danemark,2000,1238000.0,9015000000.0,1115717822.0,,,3370020.0,63.14,3202388.0,33715000000.0,4172648515.0,6572408.0,123.14
Danemark,2001,1473871.0,11016000000.0,1324038462.0,,,3960165.0,73.95,3171728.0,35277741086.41,4240113111.0,7131893.0,133.18
Danemark,2002,1354376.0,7652000000.0,969835234.0,,,4477845.0,83.32,3074393.0,34587914298.09,4383766071.0,7995535.0,148.77
Danemark,2003,1117962.0,5607000000.0,850834598.0,,,4767100.0,88.49,2998472.0,36389020678.6623,5521854428.0,8471853.0,157.26
Danemark,2004,1012648.0,5722000000.0,955258765.0,,,5166912.0,95.66,2913688.0,38073874658.9541,6356239509.0,9104760.0,168.57
Danemark,2005,997781.0,6874000000.0,1145666667.0,,106896.0,5449206.0,100.61,2797151.0,40061522016.3281,6676920336.0,9596772.0,177.19
Danemark,2006,1023234.0,7357000000.0,1236470588.0,,268180.0,5828157.0,107.24,2614819.0,40527201856.032,6811294430.0,10171313.0,187.16
Danemark,2007,1060779.0,9142000000.0,1680514706.0,,357354.0,6307606.0,115.58,2354109.0,44313990884.1764,8145954207.0,10607557.0,194.37
Danemark,2008,1077668.0,9626580794.28,1887564862.0,,484276.0,6556988.0,119.46,2061000.0,41434892281.11,8124488683.0,10604195.0,193.19
Danemark,2009,1147966.0,8332907253.0,1554646876.0,1450840.0,712742.0,6833683.0,123.81,1679000.0,40601909817.0,7574983175.0,10533947.0,190.85
Danemark,2010,1012949.0,7375125155.0,1312299850.0,1510640.0,817634.0,6980704.0,125.92,1331984.0,40600516668.0,7224291222.0,10423423.0,188.02
Danemark,2011,974086.0,6677383377.0,1243460592.0,1575440.0,942407.0,7173185.0,128.86,1219851.0,39464006987.0,7348977093.0,10536283.0,189.27
Danemark,2012,1089748.0,6548756889.125,1131046095.0,1478000.0,962912.0,7292756.0,130.53,1052366.0,39864928185.211,6885134402.0,10523332.0,188.35
Danemark,2013,867767.0,6150937439.89,1094472854.0,1665120.0,964489.0,7031152.0,125.36,903712.0,37330068014.8978,6642360857.0,10207265.0,181.99
Danemark,2014,930744.0,6256566547.44914,1115252504.0,1681150.0,923055.0,7160233.0,126.96,748560.0,40056668964.5,7140226197.0,10250552.0,181.76
Danemark,2015,807317.0,6711476596.93,997247637.0,1604800.0,908579.0,7079249.0,124.67,610181.0,39307581916.0259,5840651102.0,10094392.0,177.77
Danemark,2016,655064.0,6615644240.5,983008060.0,1510000.0,869136.0,6985035.0,122.02,526103.0,38353811219.72,5698931831.0,9942534.0,173.69
Danemark,2017,517189.0,7289114493.0,1104411287.0,1379900.0,648406.0,7140859.00299,123.96,450591.0,37897985122.3173,5742118958.0,10074658.00299,174.89
Danemark,2018,479031.0,7019073219.0,1112372935.0,1272900.0,622676.99653,7216215.0,124.63,392191.99968,38273611344.4428,6065548549.0,10114775.99968,174.7
